event	event_ch_name	event_description	key1	key2	key3	key4	key5	key6	key7	key8	key9	key10	key11	key12	key13	key14	key15	key16	key17	key18	key19	key20	key21	key22	key23	key24	key25	key26	key27	key28	key29	key30	key31
kill_other	击杀玩家		string_danger_exp	role_gold_coin	health_level	attack_level	ele_attack_level	energy_level	today_play_time	total_play_time	activity_day	role_level	role_battle_power	ability_id_alias	ability_level	remain_attribute_points	sec_attribute_points	main_task_id	side_task_id	points_solution	points_solution_count	map	coordiantes	ability_id_alias	ability_level	obtain_danger_exp	total_danger_exp						
killed_other	被玩家击杀		string_danger_exp	role_gold_coin	health_level	attack_level	ele_attack_level	energy_level	today_play_time	total_play_time	activity_day	role_level	role_battle_power	ability_id_alias	ability_level	remain_attribute_points	sec_attribute_points	main_task_id	side_task_id	points_solution	points_solution_count	map	coordiantes	total_danger_exp	lost_dangerou_value	other_level	other_danger_exp						
kill_monster_boss	击杀BOSS		string_danger_exp	role_gold_coin	health_level	attack_level	ele_attack_level	energy_level	today_play_time	total_play_time	activity_day	role_level	role_battle_power	ability_id_alias	ability_level	remain_attribute_points	sec_attribute_points	main_task_id	side_task_id	points_solution	points_solution_count	map	coordiantes	ability_id_alias	ability_level	monster_id_alias							
killed_monster	被怪物击杀		string_danger_exp	role_gold_coin	health_level	attack_level	ele_attack_level	energy_level	today_play_time	total_play_time	activity_day	role_level	role_battle_power	ability_id_alias	ability_level	remain_attribute_points	sec_attribute_points	main_task_id	side_task_id	points_solution	points_solution_count	map	coordiantes	monster_id_alias									
frist_kill_monster	首次击杀怪物		string_danger_exp	role_gold_coin	health_level	attack_level	ele_attack_level	energy_level	today_play_time	total_play_time	activity_day	online_time																					
frist_killed_monster	首次被怪物击杀		string_danger_exp	role_gold_coin	health_level	attack_level	ele_attack_level	energy_level	today_play_time	total_play_time	activity_day	online_time																					
frist_kill_ohter	首次击杀玩家		string_danger_exp	role_gold_coin	health_level	attack_level	ele_attack_level	energy_level	today_play_time	total_play_time	activity_day	online_time																					
frist_killed_ohter	首次被玩家击杀		string_danger_exp	role_gold_coin	health_level	attack_level	ele_attack_level	energy_level	today_play_time	total_play_time	activity_day	online_time																					
g2069_wheel	转盘抽奖事件		string_danger_exp	role_gold_coin	health_level	attack_level	ele_attack_level	energy_level	today_play_time	total_play_time	activity_day	role_level	role_battle_power	ability_id_alias	ability_level	remain_attribute_points	sec_attribute_points	main_task_id	side_task_id	points_solution	points_solution_count	map	coordiantes										
player_levelup	角色升级		string_danger_exp	role_gold_coin	health_level	attack_level	ele_attack_level	energy_level	today_play_time	total_play_time	activity_day	role_level	role_battle_power	ability_id_alias	ability_level	remain_attribute_points	sec_attribute_points	main_task_id	side_task_id	points_solution	points_solution_count	map	coordiantes	ability_id	player_level	level_up_spent							
g2069_lottery	抽奖日志	玩家进行抽奖后上传	string_danger_exp	role_gold_coin	health_level	attack_level	ele_attack_level	energy_level	today_play_time	total_play_time	activity_day	role_level	role_battle_power	ability_id_alias	ability_level	remain_attribute_points	sec_attribute_points	main_task_id	side_task_id	points_solution	points_solution_count	map	coordiantes	lottery_item_alias	lottery_amount_spent	lottery_count	lottery_stage_count	lottery_daily_count	lottery_guaranteed	lottery_pool_id			
g2069_enter_map	跳转地图	跳转地图时上报	string_danger_exp	role_gold_coin	health_level	attack_level	ele_attack_level	energy_level	today_play_time	total_play_time	activity_day	role_level	role_battle_power	ability_id_alias	ability_level	remain_attribute_points	sec_attribute_points	main_task_id	side_task_id	points_solution	points_solution_count	map	coordiantes										
fly_hit_down	飞行时被击倒  	飞行时被玩家用技能击倒时上传  	string_danger_exp	role_gold_coin	health_level	attack_level	ele_attack_level	energy_level	today_play_time	total_play_time	activity_day	role_level	role_battle_power	ability_id_alias	ability_level	remain_attribute_points	sec_attribute_points	main_task_id	side_task_id	points_solution	points_solution_count	map	coordiantes	ability_id	player_level	hit_skill_id							
first_hit_monster	首次打怪日志	玩家首次攻击碰撞检测命中怪物时上传	string_danger_exp	role_gold_coin	health_level	attack_level	ele_attack_level	energy_level	today_play_time	total_play_time	activity_day	role_level	role_battle_power	ability_id_alias	ability_level	remain_attribute_points	sec_attribute_points	main_task_id	side_task_id	points_solution	points_solution_count	map	coordiantes	monster_id_alias									
first_attack	首次攻击	玩家首次攻击碰撞检测命中其他实体时上传	string_danger_exp	role_gold_coin	health_level	attack_level	ele_attack_level	energy_level	today_play_time	total_play_time	activity_day	role_level	role_battle_power	ability_id_alias	ability_level	remain_attribute_points	sec_attribute_points	main_task_id	side_task_id	points_solution	points_solution_count	map	coordiantes	attack_type	hit_object	hit_object_level	damage						
first_be_attacked	首次被攻击	玩家首次被其他实体攻击碰撞检测命中时上传	string_danger_exp	role_gold_coin	health_level	attack_level	ele_attack_level	energy_level	today_play_time	total_play_time	activity_day	role_level	role_battle_power	ability_id_alias	ability_level	remain_attribute_points	sec_attribute_points	main_task_id	side_task_id	points_solution	points_solution_count	map	coordiantes	be_attacked_type	attacked_object	attacked_object_level	damage						
danger_exp_bug_report	危险值修复日志	修复玩家埋点时上报	string_danger_exp	role_gold_coin	health_level	attack_level	ele_attack_level	energy_level	today_play_time	total_play_time	activity_day	role_level	role_battle_power	ability_id_alias	ability_level	remain_attribute_points	sec_attribute_points	main_task_id	side_task_id	points_solution	points_solution_count	map	coordiantes	before_fix_danger_exp	fixed_danger_exp								
rank_report	排行榜日志	玩家排行榜数据上报时记录	string_danger_exp	role_gold_coin	health_level	attack_level	ele_attack_level	energy_level	today_play_time	total_play_time	activity_day	role_level	role_battle_power	ability_id_alias	ability_level	remain_attribute_points	sec_attribute_points	main_task_id	side_task_id	points_solution	points_solution_count	map	coordiantes	global_string_danger_exp	region_string_danger_exp	global_rank_position	region_rank_position						
awake_mission_open_report	觉醒副本开启日志	房间开启时上传，只有开启者上传，参与者不上传	string_danger_exp	role_gold_coin	health_level	attack_level	ele_attack_level	energy_level	today_play_time	total_play_time	activity_day	role_level	role_battle_power	ability_id_alias	ability_level	remain_attribute_points	sec_attribute_points	main_task_id	side_task_id	points_solution	points_solution_count	map	coordiantes	mission_room_id	mission_alias	mission_invited_player	mission_open_count_today						
awake_mission_start_report	觉醒副本进入日志	等待时间结束上传	string_danger_exp	role_gold_coin	health_level	attack_level	ele_attack_level	energy_level	today_play_time	total_play_time	activity_day	role_level	role_battle_power	ability_id_alias	ability_level	remain_attribute_points	sec_attribute_points	main_task_id	side_task_id	points_solution	points_solution_count	map	coordiantes	mission_room_id	mission_alias	mission_invited_player	mission_enter_player	mission_is_player_full	mission_is_opener	mission_wait_time			
awake_mission_end_report	觉醒副本结束日志	副本结束时上传，任一个参与结束玩家上传	string_danger_exp	role_gold_coin	health_level	attack_level	ele_attack_level	energy_level	today_play_time	total_play_time	activity_day	role_level	role_battle_power	ability_id_alias	ability_level	remain_attribute_points	sec_attribute_points	main_task_id	side_task_id	points_solution	points_solution_count	map	coordiantes	mission_room_id	mission_alias	mission_end_time	mission_end_reason	mission_finish_player	mission_end_stage				
awake_mission_die_report	觉醒副本死亡日志	玩家在觉醒副本中死亡时上传	string_danger_exp	role_gold_coin	health_level	attack_level	ele_attack_level	energy_level	today_play_time	total_play_time	activity_day	role_level	role_battle_power	ability_id_alias	ability_level	remain_attribute_points	sec_attribute_points	main_task_id	side_task_id	points_solution	points_solution_count	map	coordiantes	mission_room_id	mission_alias	mission_invited_player	mission_enter_player	mission_is_opener	mission_undead_player	mission_die_stage			
awake_report	觉醒日志	玩家觉醒能力成功时上传	string_danger_exp	role_gold_coin	health_level	attack_level	ele_attack_level	energy_level	today_play_time	total_play_time	activity_day	role_level	role_battle_power	ability_id_alias	ability_level	remain_attribute_points	sec_attribute_points	main_task_id	side_task_id	points_solution	points_solution_count	map	coordiantes	awake_ability_id_alias	awake_level								
